,datetime,sender,message,sentiment_score
11647,2020-08-30 19:21:00,Amu Delhi,Bubu,1
11653,2020-09-01 20:35:00,Amu Delhi,Bubu = happiness,1
11656,2020-09-01 21:11:00,Abhishek,😘,1
11658,2020-09-03 21:25:00,Amu Delhi,Yes yes yes❤️❤️❤️,1
11659,2020-09-04 01:04:00,Abhishek,😘😘😘😘😘😘,1
11662,2020-09-09 00:47:00,Amu Delhi,😘😘,1
11674,2020-09-12 22:45:00,Amu Delhi,Love u bubu,2
11676,2020-09-14 22:08:00,Amu Delhi,Bubu,1
11680,2020-09-14 23:36:00,Amu Delhi,Missed voice call,1
11688,2020-09-17 19:36:00,Amu Delhi,Amu miss abhi,1
11696,2020-09-17 22:29:00,Amu Delhi,Bubu is drunk?,1
11702,2020-09-17 22:38:00,Abhishek,😘😘😘😘,1
11707,2020-09-17 23:17:00,Amu Delhi,❤️,1
11708,2020-09-18 09:45:00,Amu Delhi,Bubu,1
11724,2020-09-25 10:11:00,Amu Delhi,Bubu uth gayi?,1
11782,2020-10-06 21:10:00,Amu Delhi,Jaldi aao bubu,1
11783,2020-10-06 22:00:00,Amu Delhi,Bubu,1
11797,2020-10-07 14:26:00,Amu Delhi,Bubu sperm and my eggs have become super embryos,1
11798,2020-10-07 14:26:00,Amu Delhi,"At this moment, we have a living entity in this world that is a combination of us 2 😍😍",1
11799,2020-10-07 14:26:00,Amu Delhi,❤️,1
11801,2020-10-07 14:44:00,Abhishek,😘😘😘😘😘,1
11804,2020-10-08 03:24:00,Amu Delhi,😘😘,1
11807,2020-10-10 13:58:00,Amu Delhi,Bubu,1
11811,2020-10-11 17:46:00,Amu Delhi,Pay Kar do bubu,1
11814,2020-10-11 17:47:00,Amu Delhi,😘😘,1
11816,2020-10-11 23:41:00,Amu Delhi,Come soon bubu,1
11826,2020-10-13 23:03:00,Amu Delhi,Bubu,1
11829,2020-10-13 23:04:00,Amu Delhi,Missed voice call,1
11830,2020-10-13 23:05:00,Amu Delhi,Bubu.. missing u,2
11841,2020-10-16 18:52:00,Amu Delhi,Want to come down bubu?,1
11842,2020-10-18 21:53:00,Amu Delhi,Bubu,1
11844,2020-10-18 22:23:00,Amu Delhi,Missed voice call,1
11845,2020-10-18 22:24:00,Amu Delhi,Call karo bubu,1
11851,2020-10-21 21:26:00,Amu Delhi,Sleeping bubu,1
11852,2020-10-21 21:26:00,Amu Delhi,😘😘,1
11859,2020-10-25 08:45:00,Amu Delhi,Started feeling better bubu,1
11876,2020-10-27 21:38:00,Amu Delhi,Missed voice call,1
11878,2020-10-28 00:38:00,Amu Delhi,😘😘,1
11902,2020-11-12 00:35:00,Amu Delhi,😘😘,1
11923,2020-11-18 16:33:00,Abhishek,Bubu,1
11929,2020-11-18 16:33:00,Abhishek,😘😘 I have been 😘😘😘😘😘😘😘,1
11931,2020-11-18 16:33:00,Abhishek,😘😘😘HH😘h h I am h hh you have a degree is 😘😘😘,1
11932,2020-11-18 16:34:00,Abhishek,😘 hehe jjjjj😘j😘j😘j😘h😘h😘h😘h,1
11944,2020-11-23 18:05:00,Amu Delhi,😘😘,1
11953,2020-11-26 22:21:00,Abhishek,😘😘,1
11965,2020-12-02 10:12:00,Abhishek,😘,1
12002,2020-12-16 21:01:00,Amu Delhi,Ohkk 😘😘,1
12011,2020-12-22 21:13:00,Amu Delhi,Order kar diya bubu,1
12024,2020-12-25 19:51:00,Amu Delhi,U are my rock bubu,1
12025,2020-12-25 19:51:00,Amu Delhi,Mardeee 😘,1
12026,2020-12-25 19:51:00,Abhishek,😘,1
12028,2020-12-27 17:06:00,Amu Delhi,Booo 😘,1
12029,2020-12-27 17:06:00,Amu Delhi,❤️,1
12030,2020-12-27 18:13:00,Amu Delhi,Meditation kiya bubu,1
12035,2020-12-29 16:01:00,Amu Delhi,Also bringing shakes for my bubu,1
12036,2020-12-29 16:01:00,Amu Delhi,For sugar adjustment 😘,1
12037,2020-12-29 16:02:00,Abhishek,😘,1
12068,2021-01-03 18:38:00,Amu Delhi,Bubu,1
12075,2021-01-03 21:01:00,Amu Delhi,Awwww 😘😘😘😘,1
12082,2021-01-03 22:21:00,Amu Delhi,Pahunch gaya ghar bubu?,1
12093,2021-01-05 11:52:00,Amu Delhi,Good morning bubu,1
12103,2021-01-06 10:07:00,Amu Delhi,Bubu ke upar chadh jaunge,1
12114,2021-01-06 16:42:00,Abhishek,Pakad ke kar do 😘😘,1
12122,2021-01-06 16:44:00,Abhishek,😘,1
12144,2021-01-07 20:02:00,Abhishek,😘,1
12148,2021-01-07 22:50:00,Amu Delhi,Gunni baccha 😘😘,1
12157,2021-01-09 21:52:00,Amu Delhi,😘😘,1
12158,2021-01-09 21:53:00,Abhishek,😘,1
12161,2021-01-10 11:29:00,Abhishek,😘😘😘😘,1
12169,2021-01-10 22:34:00,Abhishek,😘,1
12199,2021-01-11 22:46:00,Amu Delhi,Gunni shona❤️,1
12206,2021-01-12 18:22:00,Amu Delhi,Bubu,1
12208,2021-01-12 21:56:00,Amu Delhi,Bubu sounge,1
12211,2021-01-12 22:04:00,Abhishek,So jao😘😘,1
12215,2021-01-12 22:05:00,Amu Delhi,😘😘,1
12216,2021-01-12 22:05:00,Amu Delhi,Love yous,1
12220,2021-01-12 22:07:00,Amu Delhi,😘😘😘,1
12222,2021-01-12 22:08:00,Abhishek,😘 gunni ams,1
12225,2021-01-13 10:55:00,Amu Delhi,Misshing bubbu,1
12235,2021-01-13 10:56:00,Abhishek,😘,1
12237,2021-01-13 10:56:00,Amu Delhi,😘😘,1
12238,2021-01-13 20:37:00,Amu Delhi,Bubu,1
12245,2021-01-13 22:34:00,Amu Delhi,❤️❤️,1
12250,2021-01-14 11:39:00,Abhishek,Happy khichdi,1
12251,2021-01-14 11:39:00,Abhishek,😘,1
12252,2021-01-14 12:14:00,Amu Delhi,Happy sankranti bubu,2
12253,2021-01-14 12:14:00,Amu Delhi,Khichdi nai hota 😂😂😂😘😘😘😘😘,1
12257,2021-01-14 15:05:00,Amu Delhi,😘😘😘,1
12265,2021-01-14 22:19:00,Amu Delhi,❤️,1
12315,2021-01-16 20:20:00,Amu Delhi,Bubu aa gaya?,1
12321,2021-01-17 19:38:00,Abhishek,😘,1
12337,2021-01-18 08:16:00,Amu Delhi,Missed video call,1
12340,2021-01-18 14:37:00,Abhishek,😘😘😘,1
12342,2021-01-18 15:01:00,Amu Delhi,Bubu,1
12343,2021-01-18 15:01:00,Amu Delhi,😘😘😘,1
12349,2021-01-18 19:33:00,Amu Delhi,Bubu call nai kar raha..,1
12359,2021-01-19 17:26:00,Amu Delhi,Bubu,1
12369,2021-01-19 21:45:00,Amu Delhi,😘😘,1
12467,2021-01-22 16:50:00,Amu Delhi,Ganda bubu,1
12468,2021-01-22 22:17:00,Amu Delhi,So gaya bubu?,1
12469,2021-01-22 22:15:00,Amu Delhi,Missed video call,1
12470,2021-01-22 22:55:00,Amu Delhi,😘😘,1
12489,2021-01-25 10:51:00,Amu Delhi,Drama bubu hai,1
12494,2021-01-26 11:06:00,Amu Delhi,Missed video call,1
12549,2021-01-28 19:00:00,Amu Delhi,Abhi free hua bubu,1
12552,2021-01-28 22:08:00,Amu Delhi,Kyu bubu?,1
12558,2021-01-28 22:18:00,Abhishek,😘,1
12583,2021-01-29 19:46:00,Amu Delhi,Nai bubu 😘😘😘,2
12590,2021-01-30 14:37:00,Abhishek,❤️,1
12601,2021-01-30 19:50:00,Abhishek,❤️❤️,1
12602,2021-01-30 20:13:00,Amu Delhi,Missing u boobs,1
12605,2021-01-30 20:24:00,Amu Delhi,Next to bubu,1
12606,2021-01-30 20:26:00,Abhishek,Haan ams. Ab mai bubu ka dhyan rakhunga dher saara,1
12610,2021-01-31 17:11:00,Abhishek,😘😘😘. Guud,1
12625,2021-01-31 22:28:00,Amu Delhi,Haan bubu.. driver hai aur car hai 😁,1
12638,2021-01-31 22:30:00,Amu Delhi,Haan bubu,1
12649,2021-01-31 22:33:00,Amu Delhi,Bubu kaisa hai?,1
12661,2021-02-01 23:00:00,Amu Delhi,Bubu,1
12669,2021-02-03 16:08:00,Abhishek,❤️,1
12670,2021-02-03 16:08:00,Abhishek,❤️❤️,1
12672,2021-02-03 16:08:00,Amu Delhi,Amsy missing,1
12687,2021-02-04 18:46:00,Amu Delhi,Bubu,1
12709,2021-02-05 20:36:00,Abhishek,😘😘,1
12741,2021-02-08 23:14:00,Amu Delhi,Kal milenge 👩‍❤️‍👨,1
12743,2021-02-08 23:50:00,Amu Delhi,😘😘,1
12745,2021-02-08 23:50:00,Abhishek,😘😘,1
12788,2021-02-09 09:28:00,Abhishek,😘😘,1
12833,2021-02-14 21:00:00,Amu Delhi,😘😘😘😘😘,1
12853,2021-02-21 13:21:00,Amu Delhi,I love u bubu 😘😘😘😘,3
12870,2021-02-21 17:53:00,Amu Delhi,😘😘😘😘😘,1
12894,2021-02-22 15:57:00,Abhishek,Bubu tum usi time revert jar diya karo,1
12911,2021-02-24 10:04:00,Amu Delhi,Bubu.. gurgaon jane ka mann ho rahi hai,1
12912,2021-02-24 20:31:00,Amu Delhi,Idhar aao na bubu,1
12914,2021-02-24 20:51:00,Amu Delhi,Nai bubu,1
12934,2021-02-27 12:07:00,Amu Delhi,I will miss bui,1
12936,2021-02-27 13:18:00,Abhishek,😘,1
12948,2021-03-02 15:19:00,Amu Delhi,Missed voice call,1
12964,2021-03-05 17:22:00,Abhishek,Mummy se baat ho gayi. Unka mood thik ho gaya😘😘,1
12982,2021-03-07 11:32:00,Amu Delhi,Main Bui ko missi karunge,1
12985,2021-03-07 11:33:00,Amu Delhi,❤️❤️,1
12987,2021-03-07 19:31:00,Amu Delhi,Bubu lab aa raha hai?,1
12990,2021-03-08 10:05:00,Amu Delhi,❤️❤️,1
13022,2021-03-13 14:05:00,Amu Delhi,😘😘,1
13024,2021-03-13 14:54:00,Amu Delhi,😘😘,1
13027,2021-03-13 14:54:00,Amu Delhi,❤️❤️,1
13028,2021-03-13 14:54:00,Amu Delhi,❤️,1
13045,2021-03-13 17:04:00,Amu Delhi,Bore ho gaya bubu?,1
13089,2021-03-24 18:31:00,Amu Delhi,So happy,1
13090,2021-03-24 18:31:00,Amu Delhi,❤️❤️,1
13111,2021-04-11 23:21:00,Amu Delhi,Aur pls don't make shor while eating 😘😘😘,1
13114,2021-04-11 23:21:00,Amu Delhi,Babes 😘😘😘,1
13127,2021-04-15 11:51:00,Amu Delhi,Dalhousie... ❤️❤️,1
13156,2021-04-19 14:16:00,Abhishek,Gloves,1
13202,2021-04-28 13:16:00,Amu Delhi,❤️,1
13205,2021-04-28 13:17:00,Abhishek,😘,1
13268,2021-05-06 14:40:00,Abhishek,😘,1
13298,2021-05-07 11:36:00,Amu Delhi,😘😘,1
13308,2021-05-07 13:38:00,Amu Delhi,😘😘😘,1
13309,2021-05-07 13:38:00,Abhishek,😘😘😘,1
13369,2021-05-25 18:51:00,Amu Delhi,❤️❤️,1
13403,2021-06-05 11:00:00,Amu Delhi,❤️❤️,1
13421,2021-06-11 09:53:00,Abhishek,Ooooo❤️😘😘😘,2
13424,2021-06-11 09:53:00,Abhishek,❤️,1
13426,2021-06-11 22:32:00,Amu Delhi,Sorry bubu,1
13432,2021-06-12 20:50:00,Amu Delhi,My bouy ❤️,1
13444,2021-06-14 22:43:00,Amu Delhi,😘😘😘,1
13462,2021-06-19 08:22:00,Amu Delhi,❤️,1
13463,2021-06-19 08:22:00,Amu Delhi,Bubu yaad rakha ki service me dena hai 😘😘😘,2
13485,2021-06-26 08:31:00,Amu Delhi,Bubbu ko todo bana dunge 😘😘,1
13486,2021-06-26 08:31:00,Abhishek,Bana do 😘😘😘😘😘,1
13487,2021-06-26 08:31:00,Amu Delhi,❤️,1
13506,2021-06-27 23:11:00,Abhishek,I love you ams,1
13507,2021-06-27 23:11:00,Abhishek,You are my life bubu.,1
13508,2021-06-27 23:53:00,Amu Delhi,Bubu,1
13509,2021-06-27 23:53:00,Amu Delhi,I also love you a lot 💗,1
13572,2021-06-30 09:55:00,Abhishek,❤️❤️ and 😘😘,2
13611,2021-07-02 12:45:00,Amu Delhi,Missed video call,1
13615,2021-07-02 15:33:00,Amu Delhi,😘😘😘,1
13699,2021-07-03 17:25:00,Amu Delhi,Missed video call,1
13744,2021-07-03 21:34:00,Abhishek,Love you amsy ❤️,2
13748,2021-07-04 00:32:00,Abhishek,Gunni bubu,1
13750,2021-07-04 07:48:00,Amu Delhi,👻👻🤗🤗😘😘,1
13753,2021-07-04 09:17:00,Amu Delhi,Missed video call,1
13754,2021-07-04 09:45:00,Amu Delhi,Missed video call,1
13764,2021-07-04 15:56:00,Amu Delhi,My bouy ❤️❤️,1
13812,2021-07-04 16:48:00,Abhishek,❤️😘,2
13829,2021-07-05 14:39:00,Abhishek,❤️❤️,1
13833,2021-07-05 17:46:00,Amu Delhi,😘😘,1
13834,2021-07-05 17:46:00,Abhishek,😘😘😘😘😘😘,1
13854,2021-07-07 09:08:00,Amu Delhi,😘😘,1
13891,2021-07-10 11:28:00,Abhishek,🤘😘,1
13909,2021-07-10 15:17:00,Amu Delhi,Uber karo na bubu.. trafffic nai hai..  time nai lagega,1
13918,2021-07-10 19:47:00,Amu Delhi,Missi kar raha hai amsy ko?,1
13928,2021-07-11 11:16:00,Abhishek,😘,1
13947,2021-07-13 13:57:00,Amu Delhi,8. Godu every day (if u feel like)❤️❤️,1
13948,2021-07-13 13:58:00,Amu Delhi,9. Road trip to Lansdowne on new awesome car ❤️,1
14010,2021-07-18 20:47:00,Amu Delhi,Netflix baby ❤️❤️,1
14121,2021-07-27 22:02:00,Abhishek,Thanks bui ❤️😘😘😘. Kitne saalon baad bui ne mera assignment kiya 😎,2
14124,2021-07-27 22:16:00,Amu Delhi,😘😘😘,1
14126,2021-07-27 22:16:00,Abhishek,😘,1
14140,2021-07-27 22:25:00,Amu Delhi,Sleep tight ❤️,1
14148,2021-07-28 21:31:00,Abhishek,Bui ❤️,1
14149,2021-07-28 21:31:00,Abhishek,Puppy karunge 😘,1
14153,2021-07-29 09:46:00,Amu Delhi,Bubbu ko Missi kar raha hu,1
14159,2021-07-29 16:19:00,Amu Delhi,❤️❤️,1
14174,2021-07-30 22:24:00,Abhishek,Gunni bubu,1
14187,2021-08-01 15:32:00,Amu Delhi,❤️,1
14188,2021-08-01 15:32:00,Abhishek,Bubu is my bestest friend,1
14189,2021-08-01 15:32:00,Amu Delhi,😘😘😘,1
14190,2021-08-01 15:32:00,Abhishek,Happy friendship day bui 😘,2
14191,2021-08-01 15:32:00,Amu Delhi,Happy friendship day absy dubsy,1
14229,2021-08-03 14:58:00,Amu Delhi,Zhakaaaas.. my mood these days 😘😘😘,1
14230,2021-08-03 14:59:00,Amu Delhi,Bubu gives me no rules.. so I like bubu ❤️❤️,2
14254,2021-08-04 19:17:00,Abhishek,😘😘😘😘😘,1
14300,2021-08-05 22:00:00,Amu Delhi,❤️❤️,1
14301,2021-08-05 22:24:00,Abhishek,😘,1
14314,2021-08-06 09:30:00,Abhishek,Bubu ko phisla nai raha na Bui 😂😘❤️❤️❤️❤️❤️😘,3
14329,2021-08-06 16:42:00,Amu Delhi,Kahan hai bubu?,1
14332,2021-08-06 18:13:00,Amu Delhi,😘😘😘,1
14335,2021-08-06 18:14:00,Amu Delhi,Pakka pomish ❤️,1
14337,2021-08-06 18:14:00,Abhishek,😘,1
14340,2021-08-07 00:09:00,Amu Delhi,😘😘,1
14341,2021-08-07 00:11:00,Abhishek,😘😘,1
14348,2021-08-07 09:48:00,Abhishek,😘😘🥰,1
14350,2021-08-07 09:48:00,Amu Delhi,My boy ❤️❤️,1
14359,2021-08-07 09:58:00,Amu Delhi,Bubu ke paas har cheez ka solution hai na,1
14361,2021-08-07 09:58:00,Amu Delhi,😘😘😘,1
14369,2021-08-07 10:31:00,Amu Delhi,Missing my bui already,1
14375,2021-08-07 12:07:00,Amu Delhi,Boarded ❤️❤️,1
14376,2021-08-07 13:51:00,Amu Delhi,Landed bui bui ❤️❤️,1
14377,2021-08-07 13:51:00,Abhishek,🥰😘,1
14420,2021-08-07 23:18:00,Abhishek,"Ams. Tv mat karna courier, ghar me already hai ek 😘❤️",2
14429,2021-08-08 12:49:00,Abhishek,🥰😘👌😎,1
14440,2021-08-08 16:58:00,Abhishek,Tum 😘,1
14450,2021-08-08 20:47:00,Amu Delhi,😘😘,1
14452,2021-08-08 21:56:00,Abhishek,🤣😭❤️,1
14468,2021-08-09 00:12:00,Amu Delhi,I love abhi,1
14469,2021-08-09 00:12:00,Amu Delhi,❤️,1
14471,2021-08-09 10:37:00,Amu Delhi,😘,1
14472,2021-08-09 14:47:00,Abhishek,Aaj pooja hai baby hone ke liye ❤️,1
14473,2021-08-09 14:48:00,Abhishek,3-5 ❤️😘,2
14475,2021-08-09 14:48:00,Amu Delhi,Are babu 😘😘😘,1
14482,2021-08-09 15:08:00,Amu Delhi,Missed group video call,1
14483,2021-08-09 15:08:00,Abhishek,Ab hamara baby Hoga. Absy amsy ka baby ❤️,1
14485,2021-08-09 15:09:00,Abhishek,😘😘😘😘😘😘😘😘😘,1
14486,2021-08-09 15:09:00,Amu Delhi,😘😘😘😘😘😘😘😘😘😘😘,1
14498,2021-08-09 17:58:00,Amu Delhi,😘😘😘😘,1
14533,2021-08-10 08:32:00,Amu Delhi,😘😘,1
14541,2021-08-10 09:43:00,Abhishek,😭😭😂😘,1
14547,2021-08-10 13:32:00,Abhishek,Dono sahi hai 😘,1
14554,2021-08-10 16:13:00,Abhishek,😘,1
14566,2021-08-10 20:01:00,Amu Delhi,😘😘,1
14567,2021-08-10 20:01:00,Abhishek,😘,1
14580,2021-08-11 05:03:00,Abhishek,Happy wala buddddddddaaayyyyy amy,1
14581,2021-08-11 06:03:00,Amu Delhi,Thank you babdu 😘😘😘😘,1
14585,2021-08-11 18:48:00,Abhishek,New specs bubu 😘,2
14586,2021-08-11 18:48:00,Abhishek,Kya kar rahe ho bubu??,1
14600,2021-08-11 18:50:00,Abhishek,😘 chalo will call in sometime,1
14617,2021-08-13 09:02:00,Amu Delhi,Kya bubu,1
14619,2021-08-13 11:12:00,Amu Delhi,Hello.. beautiful ❤️,1
14624,2021-08-13 11:34:00,Amu Delhi,Arey smarty ❤️❤️,1
14632,2021-08-13 16:05:00,Abhishek,😘,1
14675,2021-08-14 22:55:00,Abhishek,😘,1
14686,2021-08-15 09:47:00,Amu Delhi,❤️❤️,1
14688,2021-08-15 09:48:00,Amu Delhi,😘😘,1
14692,2021-08-15 10:05:00,Abhishek,❤️,1
14697,2021-08-15 16:56:00,Amu Delhi,❤️,1
14719,2021-08-16 14:31:00,Abhishek,Anuprashan ❤️,1
14724,2021-08-16 21:53:00,Amu Delhi,Ale Mella cutie pie,1
14725,2021-08-16 21:53:00,Amu Delhi,😘😘😘😘😘,1
14726,2021-08-17 10:26:00,Abhishek,Bui bui missing,1
14728,2021-08-17 10:49:00,Amu Delhi,❤️❤️,1
14735,2021-08-17 13:37:00,Abhishek,😘,1
14749,2021-08-18 10:09:00,Abhishek,😘😘😘,1
14779,2021-08-18 16:41:00,Abhishek,😘😘,1
14784,2021-08-18 17:03:00,Abhishek,❤️,1
14785,2021-08-18 17:03:00,Amu Delhi,❤️,1
14794,2021-08-18 19:19:00,Amu Delhi,New plants ❤️❤️,1
14796,2021-08-19 01:30:00,Abhishek,😘,1
14798,2021-08-19 15:20:00,Amu Delhi,Yay 😘😘😘,1
14799,2021-08-19 15:59:00,Amu Delhi,Toh ab bubu aayega mere pash?,1
14842,2021-08-20 18:40:00,Abhishek,Love you ❤️,2
14869,2021-08-21 08:31:00,Abhishek,❤️❤️,1
14885,2021-08-21 11:03:00,Amu Delhi,Bihari babu ❤️,1
14887,2021-08-21 11:03:00,Abhishek,😂😘😘😘😘,1
14931,2021-08-22 11:58:00,Abhishek,😘😘,1
14943,2021-08-22 13:47:00,Amu Delhi,😘😘,1
14948,2021-08-22 19:14:00,Abhishek,😘😘,1
14956,2021-08-23 08:58:00,Abhishek,6 years bui ❤️,1
14971,2021-08-23 08:59:00,Abhishek,😘😘,1
15031,2021-08-26 10:44:00,Abhishek,Mast hua interview 😎❤️😘😘😘😘,2
15037,2021-08-26 14:18:00,Amu Delhi,🥰🥰🥰❤️❤️,1
15080,2021-08-29 11:04:00,Amu Delhi,😘😘,1
15106,2021-09-01 11:18:00,Abhishek,😘😘,1
15172,2021-09-06 10:32:00,Amu Delhi,Aur dabeli ❤️❤️,1
15173,2021-09-06 10:33:00,Abhishek,Wohoooooooo ❤️😘😘😘😘😘😘,2
15195,2021-09-07 10:20:00,Abhishek,😘😘,1
15236,2021-09-09 12:14:00,Amu Delhi,😘😘,1
15261,2021-09-12 20:32:00,Amu Delhi,❤️,1
15315,2021-09-25 22:15:00,Abhishek,Haan bubu,1
15415,2021-11-03 17:09:00,Abhishek,Bhi le lena 😘,1
15420,2021-11-03 17:10:00,Abhishek,❤️,1
15426,2021-11-03 17:14:00,Abhishek,Mai le aaunga ❤️,1
15430,2021-11-03 20:42:00,Amu Delhi,Missed voice call,1
15432,2021-11-04 17:11:00,Amu Delhi,Missed voice call,1
15439,2021-11-07 19:55:00,Amu Delhi,Thanku bui ❤️❤️,1
15453,2021-11-10 09:05:00,Amu Delhi,Bubu ki bumm.. wrapped in kambal,1
15466,2021-11-14 12:04:00,Amu Delhi,Happy children's day my bubbu,1
15491,2021-11-23 00:30:00,Amu Delhi,❤️,1
15509,2021-11-25 14:38:00,Amu Delhi,Missed voice call,1
15554,2021-12-01 13:56:00,Amu Delhi,Yo babes ❤️❤️,1
15557,2021-12-01 20:30:00,Abhishek,😘😘,1
15561,2021-12-01 23:47:00,Amu Delhi,Bubu ki match ho gayi?,1
15563,2021-12-02 09:08:00,Amu Delhi,Good morning baabu ❤️❤️,1
15564,2021-12-02 09:08:00,Amu Delhi,Missing my bui ❤️,2
15577,2021-12-02 23:02:00,Amu Delhi,Bubbu my love ❤️❤️,2
15590,2021-12-02 23:25:00,Amu Delhi,😘😘,1
15591,2021-12-02 23:25:00,Abhishek,😘,1
15592,2021-12-02 23:26:00,Amu Delhi,😘😘😘,1
15594,2021-12-02 23:26:00,Amu Delhi,❤️,1
15596,2021-12-03 05:28:00,Amu Delhi,Falling in love with u all over again ❤️❤️,2
15599,2021-12-03 08:41:00,Abhishek,Happy flying bui 😘😘,2
15600,2021-12-03 08:42:00,Amu Delhi,Thanku bubu,1
15602,2021-12-03 10:44:00,Abhishek,😘,1
15626,2021-12-06 15:19:00,Amu Delhi,Thenku bubu ❤️,2
15662,2021-12-10 08:25:00,Amu Delhi,Don't mind ❤️,1
15667,2021-12-10 08:40:00,Abhishek,😘😘. Happy flying bubu,3
15670,2021-12-10 08:41:00,Amu Delhi,Happy me time to u ❤️❤️,2
15684,2021-12-10 16:22:00,Amu Delhi,❤️,1
15687,2021-12-10 16:23:00,Amu Delhi,❤️,1
15691,2021-12-10 16:23:00,Abhishek,😘😘,1
15710,2021-12-10 23:10:00,Amu Delhi,❤️,1
15727,2021-12-11 10:58:00,Amu Delhi,❤️,1
15730,2021-12-11 10:58:00,Abhishek,😘😘,1
15751,2021-12-11 11:28:00,Amu Delhi,❤️❤️,1
15768,2021-12-12 23:31:00,Amu Delhi,❤️,1
15769,2021-12-13 02:09:00,Abhishek,Gunni amy 😘,1
15776,2021-12-13 12:52:00,Amu Delhi,❤️,1
